Reusing configuration cache.
> Task :play-services-base:copyDebugJniLibsProjectOnly UP-TO-DATE
> Task :play-services-tasks-ktx:mergeDebugJniLibFolders UP-TO-DATE
> Task :play-services-cast-framework-core:mergeDebugNativeLibs NO-SOURCE
> Task :play-services-auth-base:copyDebugJniLibsProjectOnly UP-TO-DATE
> Task :play-services-tasks-ktx:mergeDebugNativeLibs NO-SOURCE
> Task :play-services-cast-framework:mergeDebugNativeLibs NO-SOURCE
> Task :play-services-cast-core:mergeDebugNativeLibs NO-SOURCE
> Task :play-services-cast-framework-core:bundleLibCompileToJarDebug UP-TO-DATE
> Task :play-services-cast-framework-core:bundleLibRuntimeToDirDebug UP-TO-DATE
> Task :play-services-cast-core:copyDebugJniLibsProjectOnly UP-TO-DATE
> Task :play-services-cast-core:processDebugJavaRes UP-TO-DATE
> Task :play-services-basement:copyDebugJniLibsProjectOnly UP-TO-DATE
> Task :play-services-cast:mergeDebugNativeLibs NO-SOURCE
> Task :play-services-cast-framework:copyDebugJniLibsProjectOnly UP-TO-DATE
> Task :play-services-cast:copyDebugJniLibsProjectOnly UP-TO-DATE
> Task :play-services-cast-framework-core:copyDebugJniLibsProjectOnly UP-TO-DATE
> Task :play-services-tasks-ktx:copyDebugJniLibsProjectOnly UP-TO-DATE
> Task :play-services-tasks:mergeDebugNativeLibs NO-SOURCE
> Task :play-services-core-tokenG:mergeExtDexDefaultDebug UP-TO-DATE
> Task :play-services-core:microg-ui-tools:mergeDebugJniLibFolders UP-TO-DATE
> Task :play-services-api:copyDebugJniLibsProjectOnly UP-TO-DATE
> Task :play-services-core-tokenG:validateSigningDefaultDebug UP-TO-DATE
> Task :play-services-cast-core:bundleLibCompileToJarDebug UP-TO-DATE
> Task :play-services-core-tokenG:writeDefaultDebugAppMetadata UP-TO-DATE
> Task :play-services-tasks:copyDebugJniLibsProjectOnly UP-TO-DATE
> Task :play-services-cast-core:bundleLibRuntimeToDirDebug UP-TO-DATE
> Task :play-services-cast-core:bundleLibRuntimeToJarDebug UP-TO-DATE
> Task :play-services-core-tokenG:writeDefaultDebugSigningConfigVersions UP-TO-DATE
> Task :play-services-cast-framework-core:bundleLibRuntimeToJarDebug UP-TO-DATE
> Task :play-services-conscrypt-provider-core:mergeDebugNativeLibs NO-SOURCE
> Task :play-services-core:microg-ui-tools:mergeDebugNativeLibs NO-SOURCE
> Task :play-services-core-tokenG:preHuaweiDebugBuild UP-TO-DATE
> Task :play-services-conscrypt-provider-core:copyDebugJniLibsProjectOnly UP-TO-DATE
> Task :play-services-core:microg-ui-tools:copyDebugJniLibsProjectOnly UP-TO-DATE
> Task :play-services-core-tokenG:createHuaweiDebugCompatibleScreenManifests UP-TO-DATE
> Task :play-services-core-tokenG:mergeHuaweiDebugNativeDebugMetadata NO-SOURCE
> Task :play-services-core-tokenG:mergeHuaweiDebugShaders UP-TO-DATE
> Task :play-services-core-tokenG:mergeHuaweiDebugJniLibFolders UP-TO-DATE
> Task :play-services-core-tokenG:checkHuaweiDebugAarMetadata UP-TO-DATE
> Task :play-services-core-tokenG:compileHuaweiDebugShaders NO-SOURCE
> Task :play-services-core-tokenG:checkHuaweiDebugDuplicateClasses UP-TO-DATE
> Task :play-services-core-tokenG:javaPreCompileHuaweiDebug UP-TO-DATE
> Task :play-services-core-tokenG:dataBindingTriggerHuaweiDebug UP-TO-DATE
> Task :play-services-core-tokenG:generateHuaweiDebugBuildConfig UP-TO-DATE
> Task :play-services-core-tokenG:validateSigningHuaweiDebug UP-TO-DATE
> Task :play-services-core-tokenG:processHuaweiDebugNavigationResources UP-TO-DATE
> Task :play-services-core-tokenG:writeHuaweiDebugAppMetadata UP-TO-DATE
> Task :play-services-core-tokenG:generateHuaweiDebugResValues UP-TO-DATE
> Task :play-services-core-tokenG:desugarHuaweiDebugFileDependencies UP-TO-DATE
> Task :play-services-core-tokenG:dataBindingMergeDependencyArtifactsDefaultDebug UP-TO-DATE
> Task :play-services-core-tokenG:mergeLibDexHuaweiDebug UP-TO-DATE
> Task :play-services-core-tokenG:mergeLibDexDefaultDebug UP-TO-DATE
> Task :play-services-core-tokenG:compileHuaweiDebugNavigationResources UP-TO-DATE
> Task :play-services-core-tokenG:mapHuaweiDebugSourceSetPaths UP-TO-DATE
> Task :play-services-cast-framework-core:processDebugJavaRes UP-TO-DATE
> Task :play-services-core-tokenG:dataBindingMergeDependencyArtifactsHuaweiDebug UP-TO-DATE
> Task :play-services-core-tokenG:mergeExtDexHuaweiDebug UP-TO-DATE
> Task :play-services-core-tokenG:dataBindingGenBaseClassesDefaultDebug UP-TO-DATE
> Task :play-services-core-tokenG:writeHuaweiDebugSigningConfigVersions UP-TO-DATE
> Task :play-services-core-tokenG:mergeDefaultDebugNativeLibs UP-TO-DATE
> Task :play-services-core-tokenG:extractDeepLinksHuaweiDebug UP-TO-DATE
> Task :play-services-core-tokenG:generateHuaweiDebugResources UP-TO-DATE
> Task :play-services-core-tokenG:mergeHuaweiDebugNativeLibs UP-TO-DATE
> Task :play-services-core-tokenG:stripDefaultDebugDebugSymbols UP-TO-DATE
> Task :play-services-core-tokenG:stripHuaweiDebugDebugSymbols UP-TO-DATE
> Task :play-services-core-tokenG:generateHuaweiDebugAssets UP-TO-DATE
> Task :play-services-core-tokenG:mergeHuaweiDebugAssets UP-TO-DATE
> Task :play-services-core-tokenG:compressHuaweiDebugAssets UP-TO-DATE
> Task :play-services-core-tokenG:processHuaweiDebugMainManifest UP-TO-DATE
> Task :play-services-core-tokenG:mergeHuaweiDebugResources UP-TO-DATE
> Task :play-services-core-tokenG:processHuaweiDebugManifest UP-TO-DATE
> Task :play-services-core-tokenG:processHuaweiDebugManifestForPackage UP-TO-DATE
> Task :play-services-core-tokenG:dataBindingGenBaseClassesHuaweiDebug UP-TO-DATE
> Task :play-services-core-tokenG:processHuaweiDebugResources UP-TO-DATE

> Task :play-services-core-tokenG:compileHuaweiDebugKotlin FAILED
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/java/org/microg/gms/account/AccountPreference.kt:9:23 Unresolved reference 'tokeng'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/java/org/microg/gms/account/AccountPreference.kt:28:26 Unresolved reference 'R'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/java/org/microg/gms/account/AccountPreference.kt:36:40 Unresolved reference 'R'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/java/org/microg/gms/account/AccountPreference.kt:37:46 Unresolved reference 'R'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/java/org/microg/gms/account/AccountPreference.kt:38:44 Unresolved reference 'R'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/java/org/microg/gms/account/AccountPreference.kt:39:45 Unresolved reference 'R'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/java/org/microg/gms/account/AccountPreference.kt:40:48 Unresolved reference 'R'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/java/org/microg/gms/ui/AccountsFragment.kt:27:23 Unresolved reference 'tokeng'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/java/org/microg/gms/ui/AccountsFragment.kt:51:36 Unresolved reference 'R'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/java/org/microg/gms/ui/AccountsFragment.kt:93:47 Unresolved reference 'R'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/java/org/microg/gms/ui/AccountsFragment.kt:152:72 Unresolved reference 'R'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/java/org/microg/gms/ui/AccountsFragment.kt:156:20 Unresolved reference 'findViewById'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/java/org/microg/gms/ui/AccountsFragment.kt:156:51 Unresolved reference 'R'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/java/org/microg/gms/ui/AccountsFragment.kt:157:20 Unresolved reference 'findViewById'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/java/org/microg/gms/ui/AccountsFragment.kt:157:51 Unresolved reference 'R'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/java/org/microg/gms/ui/AccountsFragment.kt:159:20 Unresolved reference 'findViewById'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/java/org/microg/gms/ui/AccountsFragment.kt:159:51 Unresolved reference 'R'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/java/org/microg/gms/ui/AccountsFragment.kt:159:87 Unresolved reference 'R'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/java/org/microg/gms/ui/AccountsFragment.kt:160:20 Unresolved reference 'findViewById'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/java/org/microg/gms/ui/AccountsFragment.kt:160:51 Unresolved reference 'R'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/java/org/microg/gms/ui/AccountsFragment.kt:160:96 Unresolved reference 'R'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/java/org/microg/gms/ui/AccountsFragment.kt:161:20 Unresolved reference 'findViewById'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/java/org/microg/gms/ui/AccountsFragment.kt:161:49 Unresolved reference 'R'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/java/org/microg/gms/ui/AccountsFragment.kt:161:93 Unresolved reference 'R'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/java/org/microg/gms/ui/AccountsFragment.kt:162:20 Unresolved reference 'findViewById'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/java/org/microg/gms/ui/AccountsFragment.kt:162:49 Unresolved reference 'R'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/java/org/microg/gms/ui/AccountsFragment.kt:162:93 Unresolved reference 'R'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/java/org/microg/gms/ui/AccountsFragment.kt:164:39 Unresolved reference 'findViewById'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/java/org/microg/gms/ui/AccountsFragment.kt:164:68 Unresolved reference 'R'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/java/org/microg/gms/ui/AccountsFragment.kt:165:39 Unresolved reference 'findViewById'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/java/org/microg/gms/ui/AccountsFragment.kt:165:68 Unresolved reference 'R'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/java/org/microg/gms/ui/AccountsFragment.kt:170:28 Unresolved reference 'findViewById'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/java/org/microg/gms/ui/AccountsFragment.kt:170:61 Unresolved reference 'R'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/java/org/microg/gms/ui/AccountsFragment.kt:175:87 Unresolved reference 'create'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/java/org/microg/gms/ui/AccountsFragment.kt:191:23 Unresolved reference 'R'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/java/org/microg/gms/ui/AccountsFragment.kt:193:21 Unresolved reference 'R'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/java/org/microg/gms/ui/AccountsFragment.kt:195:15 Unresolved reference 'addCallback'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/java/org/microg/gms/ui/AccountsFragment.kt:206:15 Unresolved reference 'show'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/java/org/microg/gms/ui/AccountsFragment.kt:231:63 Unresolved reference 'R'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/java/org/microg/gms/ui/AccountsFragment.kt:235:46 Unresolved reference 'R'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/java/org/microg/gms/ui/AccountsFragment.kt:236:30 Unresolved reference 'R'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/java/org/microg/gms/ui/AccountsFragment.kt:237:29 Unresolved reference 'R'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/java/org/microg/gms/ui/PrivacyFragment.kt:25:31 Unresolved reference 'R'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/java/org/microg/gms/ui/PrivacyFragment.kt:45:36 Unresolved reference 'R'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/kotlin/org/microg/gms/auth/appcert/AppCertManager.kt:18:31 Unresolved reference 'BuildConfig'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/kotlin/org/microg/gms/auth/appcert/AppCertManager.kt:97:91 Unresolved reference 'BuildConfig'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/kotlin/org/microg/gms/auth/signin/AuthSignInActivity.kt:23:23 Unresolved reference 'tokeng'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/kotlin/org/microg/gms/auth/signin/AuthSignInActivity.kt:30:31 Unresolved reference 'databinding'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/kotlin/org/microg/gms/auth/signin/AuthSignInActivity.kt:31:31 Unresolved reference 'databinding'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/kotlin/org/microg/gms/auth/signin/AuthSignInActivity.kt:99:54 Unresolved reference 'R'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/kotlin/org/microg/gms/auth/signin/AuthSignInActivity.kt:100:59 Unresolved reference 'R'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/kotlin/org/microg/gms/auth/signin/AuthSignInActivity.kt:101:53 Unresolved reference 'R'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/kotlin/org/microg/gms/auth/signin/AuthSignInActivity.kt:116:40 Unresolved reference 'R'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/kotlin/org/microg/gms/auth/signin/AuthSignInActivity.kt:126:40 Unresolved reference 'R'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/kotlin/org/microg/gms/auth/signin/AuthSignInActivity.kt:127:37 Unresolved reference 'R'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/kotlin/org/microg/gms/auth/signin/AuthSignInActivity.kt:133:23 Unresolved reference 'SigninPickerBinding'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/kotlin/org/microg/gms/auth/signin/AuthSignInActivity.kt:139:63 Unresolved reference 'R'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/kotlin/org/microg/gms/auth/signin/AuthSignInActivity.kt:144:53 Cannot infer type for this parameter. Specify it explicitly.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/kotlin/org/microg/gms/auth/signin/AuthSignInActivity.kt:144:61 Cannot infer type for this parameter. Specify it explicitly.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/kotlin/org/microg/gms/auth/signin/AuthSignInActivity.kt:144:67 Cannot infer type for this parameter. Specify it explicitly.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/kotlin/org/microg/gms/auth/signin/AuthSignInActivity.kt:144:77 Cannot infer type for this parameter. Specify it explicitly.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/kotlin/org/microg/gms/auth/signin/AuthSignInActivity.kt:159:9 None of the following candidates is applicable:
fun setContentView(p0: Int): Unit
fun setContentView(p0: View!): Unit
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/kotlin/org/microg/gms/auth/signin/AuthSignInActivity.kt:163:23 Unresolved reference 'SigninConfirmBinding'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/kotlin/org/microg/gms/auth/signin/AuthSignInActivity.kt:166:24 Argument type mismatch: actual type is 'File', but 'View' was expected.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/kotlin/org/microg/gms/auth/signin/AuthSignInActivity.kt:182:9 None of the following candidates is applicable:
fun setContentView(p0: Int): Unit
fun setContentView(p0: View!): Unit
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/kotlin/org/microg/gms/auth/signin/extensions.kt:19:23 Unresolved reference 'people'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/kotlin/org/microg/gms/auth/signin/extensions.kt:92:30 Unresolved reference 'DatabaseHelper'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/kotlin/org/microg/gms/auth/signin/extensions.kt:97:57 Cannot infer type for this parameter. Specify it explicitly.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/kotlin/org/microg/gms/auth/signin/extensions.kt:97:64 Cannot infer type for this parameter. Specify it explicitly.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/kotlin/org/microg/gms/auth/signin/extensions.kt:97:69 'operator' modifier is required on 'FirNamedFunctionSymbol kotlin/compareTo' in 'compareTo'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/kotlin/org/microg/gms/auth/signin/extensions.kt:97:77 Cannot infer type for this parameter. Specify it explicitly.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/kotlin/org/microg/gms/auth/signin/extensions.kt:97:77 Not enough information to infer type argument for 'T'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/kotlin/org/microg/gms/auth/signin/extensions.kt:97:81 Cannot infer type for this parameter. Specify it explicitly.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/kotlin/org/microg/gms/auth/signin/extensions.kt:98:58 Cannot infer type for this parameter. Specify it explicitly.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/kotlin/org/microg/gms/auth/signin/extensions.kt:98:65 Cannot infer type for this parameter. Specify it explicitly.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/kotlin/org/microg/gms/auth/signin/extensions.kt:98:70 'operator' modifier is required on 'FirNamedFunctionSymbol kotlin/compareTo' in 'compareTo'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/kotlin/org/microg/gms/auth/signin/extensions.kt:98:78 Cannot infer type for this parameter. Specify it explicitly.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/kotlin/org/microg/gms/auth/signin/extensions.kt:98:78 Not enough information to infer type argument for 'T'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/kotlin/org/microg/gms/auth/signin/extensions.kt:98:82 Cannot infer type for this parameter. Specify it explicitly.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/kotlin/org/microg/gms/auth/signin/extensions.kt:99:59 Cannot infer type for this parameter. Specify it explicitly.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/kotlin/org/microg/gms/auth/signin/extensions.kt:99:66 Cannot infer type for this parameter. Specify it explicitly.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/kotlin/org/microg/gms/auth/signin/extensions.kt:99:71 'operator' modifier is required on 'FirNamedFunctionSymbol kotlin/compareTo' in 'compareTo'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/kotlin/org/microg/gms/auth/signin/extensions.kt:99:79 Cannot infer type for this parameter. Specify it explicitly.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/kotlin/org/microg/gms/auth/signin/extensions.kt:99:79 Not enough information to infer type argument for 'T'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/kotlin/org/microg/gms/auth/signin/extensions.kt:99:83 Cannot infer type for this parameter. Specify it explicitly.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/kotlin/org/microg/gms/auth/signin/extensions.kt:100:53 Cannot infer type for this parameter. Specify it explicitly.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/kotlin/org/microg/gms/auth/signin/extensions.kt:100:60 Cannot infer type for this parameter. Specify it explicitly.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/kotlin/org/microg/gms/auth/signin/extensions.kt:100:65 'operator' modifier is required on 'FirNamedFunctionSymbol kotlin/compareTo' in 'compareTo'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/kotlin/org/microg/gms/auth/signin/extensions.kt:100:73 Cannot infer type for this parameter. Specify it explicitly.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/kotlin/org/microg/gms/auth/signin/extensions.kt:100:73 Not enough information to infer type argument for 'T'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/kotlin/org/microg/gms/auth/signin/extensions.kt:100:77 Cannot infer type for this parameter. Specify it explicitly.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/kotlin/org/microg/gms/ui/DeviceRegistrationFragment.kt:23:23 Unresolved reference 'tokeng'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/kotlin/org/microg/gms/ui/DeviceRegistrationFragment.kt:76:36 Unresolved reference 'R'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/kotlin/org/microg/gms/ui/DeviceRegistrationFragment.kt:115:41 Unresolved reference 'R'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/kotlin/org/microg/gms/ui/DeviceRegistrationFragment.kt:116:39 Unresolved reference 'R'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/kotlin/org/microg/gms/ui/DeviceRegistrationFragment.kt:121:52 Unresolved reference 'R'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/kotlin/org/microg/gms/ui/DeviceRegistrationFragment.kt:121:108 Unresolved reference 'R'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/kotlin/org/microg/gms/ui/DeviceRegistrationFragment.kt:121:149 Unresolved reference 'R'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/kotlin/org/microg/gms/ui/DeviceRegistrationFragment.kt:124:40 Unresolved reference 'R'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/kotlin/org/microg/gms/ui/DeviceRegistrationFragment.kt:128:40 Unresolved reference 'R'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/kotlin/org/microg/gms/ui/DeviceRegistrationFragment.kt:130:25 Unresolved reference 'R'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/kotlin/org/microg/gms/ui/DeviceRegistrationFragment.kt:130:38 Cannot infer type for this parameter. Specify it explicitly.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/kotlin/org/microg/gms/ui/DeviceRegistrationFragment.kt:130:38 Unresolved reference. None of the following candidates is applicable because of a receiver type mismatch:
val <T> KClass<T>.java: Class<T>
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/kotlin/org/microg/gms/ui/DeviceRegistrationFragment.kt:171:21 Unresolved reference 'R'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/kotlin/org/microg/gms/ui/DeviceRegistrationFragment.kt:177:44 Unresolved reference 'R'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/kotlin/org/microg/gms/ui/SettingsFragment.kt:24:31 Unresolved reference 'R'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/kotlin/org/microg/gms/ui/SettingsFragment.kt:30:27 Unresolved reference 'GcmDatabase'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/kotlin/org/microg/gms/ui/SettingsFragment.kt:31:27 Unresolved reference 'GcmPrefs'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/kotlin/org/microg/gms/ui/SettingsFragment.kt:64:31 Unresolved reference 'R'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/kotlin/org/microg/gms/ui/SettingsFragment.kt:84:62 Unresolved reference 'R'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/kotlin/org/microg/gms/ui/SettingsFragment.kt:95:60 Unresolved reference 'R'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/kotlin/org/microg/gms/ui/SettingsFragment.kt:99:60 Unresolved reference 'R'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/kotlin/org/microg/gms/ui/SettingsFragment.kt:103:60 Unresolved reference 'R'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/kotlin/org/microg/gms/ui/SettingsFragment.kt:107:60 Unresolved reference 'R'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/kotlin/org/microg/gms/ui/SettingsFragment.kt:111:60 Unresolved reference 'R'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/kotlin/org/microg/gms/ui/SettingsFragment.kt:120:60 Unresolved reference 'R'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/kotlin/org/microg/gms/ui/SettingsFragment.kt:128:60 Unresolved reference 'R'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/kotlin/org/microg/gms/ui/SettingsFragment.kt:135:13 Unresolved reference 'R'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/kotlin/org/microg/gms/ui/SettingsFragment.kt:214:13 Unresolved reference 'GcmPrefs'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/kotlin/org/microg/gms/ui/SettingsFragment.kt:214:22 Cannot infer type for this parameter. Specify it explicitly.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/kotlin/org/microg/gms/ui/SettingsFragment.kt:214:35 Unresolved reference 'isEnabled'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/kotlin/org/microg/gms/ui/SettingsFragment.kt:215:28 Unresolved reference 'GcmDatabase'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/kotlin/org/microg/gms/ui/SettingsFragment.kt:220:21 Unresolved reference 'R'.

> Task :play-services-core-tokenG:compileDefaultDebugKotlin FAILED
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/java/org/microg/gms/account/AccountPreference.kt:9:23 Unresolved reference 'tokeng'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/java/org/microg/gms/account/AccountPreference.kt:28:26 Unresolved reference 'R'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/java/org/microg/gms/account/AccountPreference.kt:36:40 Unresolved reference 'R'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/java/org/microg/gms/account/AccountPreference.kt:37:46 Unresolved reference 'R'.
e: file:///F:/VSCodium/Github/MicroG/play-services-core-tokenG/src/main/java/org/microg/gms/account/AccountPreference.kt:38:44 Unresolved reference 'R'.
